nCount_RNA	limbtype	Pitx1
16420	HLWT	3
18266	HLWT	0
14146	HLWT	3
10500	HLWT	1
14063	HLWT	3
9570	HLWT	2
15100	HLWT	2
20402	HLWT	2
12502	HLWT	0
13638	HLWT	1
13946	HLWT	3
9504	HLWT	7
29153	HLWT	1
26027	HLWT	8
10895	HLWT	1
13898	HLWT	17
9842	HLWT	3
20605	HLWT	2
7633	HLWT	1
18721	HLWT	1
9752	HLWT	5
17238	HLWT	0
29443	HLWT	0
9679	HLWT	2
23375	HLWT	3
31804	HLWT	16
9081	HLWT	1
11338	HLWT	0
4838	HLWT	0
15488	HLWT	5
10189	HLWT	3
11163	HLWT	0
10658	HLWT	0
16303	HLWT	6
8367	HLWT	6
13023	HLWT	1
17561	HLWT	0
18432	HLWT	1
17094	HLWT	9
11166	HLWT	0
27513	HLWT	0
9171	HLWT	0
19643	HLWT	4
17827	HLWT	6
12263	HLWT	18
7026	HLWT	1
16245	HLWT	4
24428	HLWT	24
11269	HLWT	0
48729	HLWT	19
21866	HLWT	2
9210	HLWT	8
7082	HLWT	0
13841	HLWT	0
16607	HLWT	5
12586	HLWT	6
5733	HLWT	1
5605	HLWT	0
13728	HLWT	4
13766	HLWT	13
7254	HLWT	8
9290	HLWT	3
11339	HLWT	6
17963	HLWT	11
11019	HLWT	0
17493	HLWT	16
8348	HLWT	6
15983	HLWT	1
36495	HLWT	24
15018	HLWT	0
8727	HLWT	2
22321	HLWT	6
7891	HLWT	0
21729	HLWT	11
10893	HLWT	1
16350	HLWT	2
18979	HLWT	0
15799	HLWT	4
4810	HLWT	1
11416	HLWT	3
16057	HLWT	14
19228	HLWT	2
13660	HLWT	9
36130	HLWT	12
12760	HLWT	22
9227	HLWT	2
7818	HLWT	1
21704	HLWT	0
20528	HLWT	19
15470	HLWT	15
9872	HLWT	0
11121	HLWT	6
11141	HLWT	0
47105	HLWT	0
10306	HLWT	1
24757	HLWT	0
7891	HLWT	1
19155	HLWT	3
9824	HLWT	4
10510	HLWT	6
7628	HLWT	4
22586	HLWT	0
11861	HLWT	2
15568	HLWT	9
13520	HLWT	12
30285	HLWT	0
19635	HLWT	6
17390	HLWT	10
12090	HLWT	14
22746	HLWT	0
12541	HLWT	1
19774	HLWT	2
12277	HLWT	5
12965	HLWT	11
13291	HLWT	4
20237	HLWT	0
4407	HLWT	2
10403	HLWT	0
25320	HLWT	1
12853	HLWT	4
8334	HLWT	5
25965	HLWT	0
16261	HLWT	9
20583	HLWT	4
39899	HLWT	25
10014	HLWT	1
15493	HLWT	10
15547	HLWT	0
16568	HLWT	0
13254	HLWT	6
23955	HLWT	3
10573	HLWT	7
6049	HLWT	0
12204	HLWT	0
11806	HLWT	5
16621	HLWT	8
9059	HLWT	2
13717	HLWT	0
10558	HLWT	2
12391	HLWT	4
10703	HLWT	3
11529	HLWT	0
23767	HLWT	6
18361	HLWT	1
