nCount_RNA	group	gauss_1_0.5_0.5	gauss_1_0.5_0.5_expression	gauss_1_0.75_0.25	gauss_1_0.75_0.25_expression	gauss_1_1_0.2	gauss_1_1_0.2_expression	gauss_1_1.5_0.5	gauss_1_1.5_0.5_expression	uniform_1_0_1	uniform_1_0_1_expression	uniform_1_0_2	uniform_1_0_2_expression	gauss_0.5_0.5_0.15_gauss_0.5_1.5_0.15	gauss_0.5_0.5_0.15_gauss_0.5_1.5_0.15_expression	gauss_0.5_0.75_0.25_gauss_0.5_2_0.2	gauss_0.5_0.75_0.25_gauss_0.5_2_0.2_expression	gauss_0.5_1_0.5_gauss_0.5_2.5_0.15	gauss_0.5_1_0.5_gauss_0.5_2.5_0.15_expression	gauss_0.3_0.5_0.15_gauss_0.4_1.5_0.15_gauss_0.3_2.5_0.15	gauss_0.3_0.5_0.15_gauss_0.4_1.5_0.15_gauss_0.3_2.5_0.15_expression	gauss_0.3_0.5_0.2_gauss_0.3_1.25_0.2_gauss_0.4_2_0.2	gauss_0.3_0.5_0.2_gauss_0.3_1.25_0.2_gauss_0.4_2_0.2_expression	gauss_0.25_0.75_0.25	gauss_0.25_0.75_0.25_expression	gauss_0.25_1.5_0.25	gauss_0.25_1.5_0.25_expression	gauss_0.18_0.9_0.12	gauss_0.18_0.9_0.12_expression
20036	group3	2	0.5119258213481093	1	0.7102003805241411	6	1.0255355655584206	23	2.4197172308313535	0	0.22199317108973948	9	1.7857203028720032	0	0.2858611427581924	22	2.2285505823626006	0	0.08002829157534719	30	2.6114804683083643	0	0.3209748534400273	0	0.4965138942775916	0	0.0	0	0.0
20682	group2	1	0.8607458576368797	1	0.26925440786733423	1	1.1095964218434329	5	1.5601073198606288	4	0.8707323061773764	3	0.6639596106023544	7	1.2854474935807267	16	2.3719531509869687	16	2.153119992341801	3	0.6115291001056317	0	0.10991913060840564	0	0.0	12	1.6911141550330413	0	0.0
36511	group3	0	0.00019880405987804384	4	0.781586127458964	3	0.8898514061798084	32	2.46119169747393	1	0.20671915533942642	19	1.6424582461156636	4	0.615835679631264	29	2.2245183505849306	4	1.0165555580837158	11	1.6114804683083643	4	1.067132441496404	0	0.0	0	0.0	0	0.0
12534	group3	0	0.39010990656600664	0	0.7097740913521309	2	1.0054288931782407	2	1.7843217675769187	1	0.9186109079379216	0	0.0833932514504998	5	1.6157878469092601	11	2.015484204637944	0	1.009080154960271	4	2.1942309213148956	9	1.8171324413683003	0	0.0	0	0.0	3	0.904194947821892
18220	group3	0	0.2117335977750942	2	0.7002620640908455	2	1.2484707727834718	10	1.7595247089372923	0	0.48841118879482914	1	0.2153133598719359	9	1.4767494568913455	2	1.03589402407856	1	0.48930536074758013	8	1.1942309213148954	1	0.8370580750879262	3	0.9111452333088057	0	0.0	0	0.0
7350	group2	0	0.14094356152202814	0	0.6408762414817384	1	1.2521417708595972	3	1.1090687535358814	1	0.6117438629026457	4	1.1901041284124805	2	1.5889749941268532	1	1.2150915372260291	2	0.5061058542094206	0	0.19548180615690675	0	1.2315343019808573	0	0.0	0	0.0	0	0.0
13052	group3	0	0.259649210218727	0	0.5446614548994547	2	0.7704981063545547	10	2.491412250179133	0	0.7659078564803156	2	1.0596347243856432	8	1.802083653797382	1	1.030855817471751	3	0.6409317590229021	1	0.5512923733344604	2	0.4832118448552546	0	0.0	0	0.0	0	0.0
16425	group1	1	0.4363998779285955	4	0.8262289845407377	3	0.8367951305874276	0	0.2855353621990271	1	0.5184179878729432	3	0.8376148571133086	1	0.47684114566797425	3	0.7697533317062658	4	0.9140234447739294	18	2.5512297180505388	2	1.3695124253243924	2	0.592471090733544	0	0.0	0	0.0
13753	group3	0	0.4905663511641406	1	0.6193311416754788	3	0.6738422957947456	4	1.1690080345011986	0	0.29680050157622195	4	0.6708156985466585	1	0.5890281924084648	9	1.8540217482831978	4	0.6863128668315499	2	0.6006603255009911	4	1.5870580742377363	0	0.0	0	0.0	0	0.0
14036	group2	1	0.6422493464130058	1	0.5951428204107978	3	0.9702168233361668	5	1.4188750160799775	0	0.18772122866125163	4	1.2450388643921804	2	0.8021106376748057	2	0.5683732969920041	0	0.3729350992862799	2	0.49951954736435206	11	1.9815343019253946	1	0.7715641604829733	0	0.0	0	0.0
12190	group3	1	0.5142174510553644	0	0.8274511763775402	2	0.6234776132565769	9	1.8855576983104831	0	0.08074126876487486	2	0.8762828522177482	6	1.514496761280319	4	1.5446381153190887	4	0.8212899053272273	2	1.551229718050539	9	2.1195124252905604	0	0.0	4	1.3214414779882024	0	0.0
12761	group3	1	0.814248936941251	1	0.7686777701957859	1	0.9783170648505556	4	1.0769852036034187	2	0.73844029619897	4	1.4717642126973804	6	1.5004212884374701	6	1.9649638568411758	20	2.500704838446297	16	2.600609573655795	1	0.6205376784160368	0	0.0	0	0.0	0	0.0
25426	group2	0	0.28096818625814457	0	0.4750942109140056	6	1.0766021742196854	18	2.0473550772562037	1	0.4413092228959531	3	1.0360728239985375	2	0.514571563390192	23	1.9505468904776448	26	2.4984107528265955	0	0.3867523816491151	8	1.9597254725272333	0	0.0	19	1.7329485298378138	0	0.0
23016	group3	7	1.1335905962853454	2	0.7589221948500581	2	0.8825318800268616	34	2.5651077203677715	0	0.1583098677126512	8	1.1577172004523142	5	0.5005017701686818	16	2.0113735216793214	2	0.553133336186804	9	1.6006095736557948	18	1.992692604935102	0	0.0	0	0.0	5	0.9899172967993329
15267	group3	0	0.045542810528472144	0	0.5263876901581714	2	1.0914503765737518	1	1.0128845830717856	1	0.8799370312012789	6	1.2907101917911876	0	0.2813315670988007	4	1.9891619507431049	13	2.3337295589202727	12	2.49943864391327	3	0.4615657058227478	0	0.21330365443597432	0	0.0	0	0.0
15680	group3	1	0.7955145987242296	3	0.9478330542449355	5	1.0459530649793098	7	1.6239285355607431	2	0.27408646199222464	7	1.9804485427468328	4	1.28089744630975	0	0.19143750744960708	11	2.339367593459583	9	1.4994386439132696	12	1.5534384626858482	0	0.0	0	0.0	0	0.0
9677	group1	0	0.5122241097689834	2	1.013624389649907	0	0.6044631254856339	0	0.34281769796801953	0	0.4142350190810513	2	1.6397163938436827	0	0.40751162180417466	0	0.7066939666343978	7	2.3834394691952396	6	2.3865860130877117	0	0.49429535566600347	0	0.0	0	0.0	0	0.0
17116	group3	3	0.6642140573120654	4	0.746816224115056	3	1.0296129746026201	3	1.3569481499726643	0	0.29607993273364797	1	0.8264018696323616	0	0.5000365020500912	12	2.0278412797276415	14	2.4691432915211067	0	0.3729012211092795	0	0.08464478346148974	0	0.0	0	0.0	0	0.0
16540	group2	0	0.20376666574566776	4	1.0056680939949338	1	0.87086977462334	2	0.6546672022448057	2	0.6287879088794833	9	1.7525353104132548	6	1.4073688530622501	2	0.688704737806473	12	2.3979284160095165	18	2.3727158806019086	0	1.2097254725881075	0	0.0	13	1.955423211866822	0	0.0
13464	group3	1	0.273572948307947	2	0.4002189346782895	2	0.9571116865043834	17	2.3568685052531153	1	0.579837810189545	4	1.6475188651410426	4	0.5698896798454405	3	0.7646213548486246	10	2.293259189120072	16	2.6062016139849002	1	0.49526446559359766	3	1.0993555748242805	0	0.0	0	0.0
18591	group2	5	0.981761606667491	3	0.753706158986126	5	0.8855198696166593	8	1.4205931043445092	3	0.5999291966249876	0	0.10894901564470927	6	1.4999558209864268	3	0.7368943062944822	6	1.5908103512289553	4	1.3865860130877117	13	1.9936680051112816	0	0.0	0	0.0	0	0.0
15630	group3	4	1.4658120742822969	0	0.37449945380342387	1	1.100952975457748	14	2.3178374733177116	3	0.26581911753550724	4	1.4372744731283886	6	1.5698320038207676	8	2.0217935764350825	14	2.4403746935111617	1	0.6062512562594778	13	2.314024430941589	4	1.0716009003979718	4	1.9801190588237358	3	1.0354098191325956
35148	group3	0	0.4020612694944881	5	0.705202529545131	2	0.9700362855322084	21	1.8973301790226766	2	0.2846858806413638	17	1.6043411248489508	2	0.6283035577862327	7	0.7851814363775486	33	2.354952598288783	11	1.3727158806019086	12	1.242692604988079	1	0.2961336528545972	0	0.0	0	0.0
17782	group2	2	0.8234277245432211	0	0.4263809707339392	1	0.7985172391301687	9	2.054928779823305	1	0.2535882057737875	8	1.4728132876228779	7	1.6282579173645855	3	0.7776305639916387	10	1.8326804198597901	7	1.6062016139849	3	0.8034384639142459	1	1.1792418899223058	0	0.0	0	0.0
9322	group3	1	1.1295438252200856	0	0.4664295932278536	4	1.0224306987934983	4	1.031310002686261	1	0.3275639476887341	0	1.4182635015623346	2	1.454548505028563	0	0.9275567760251637	23	2.6751720891253212	4	1.3563472649584543	1	0.8146473809967018	0	0.0	3	1.4707621278017504	0	0.0
19299	group3	4	1.1744886462254747	2	0.8115844740634572	10	1.1546513842657828	4	0.7844379025593311	0	0.14416430065342045	1	1.0818737086050563	0	0.4546530547941283	1	0.8903685469788309	21	2.7481410383235754	4	1.2973425991849472	1	0.708769134788391	0	0.0	8	1.5692060579547908	0	0.0
17503	group3	0	0.1309169404353142	2	0.5628563354308213	1	0.8987631932627942	11	1.628332984769813	0	0.1656128612012676	0	0.24964834876121955	4	1.2739862971136044	4	0.8264985614365947	14	2.235190168148049	6	1.5724109988593333	12	2.207969902705603	0	0.0	0	0.0	0	0.0
10534	group3	0	0.06383427134868802	0	0.4408949646473643	5	0.8468806281737131	1	1.0211268195488536	0	0.9639305290679419	4	1.9152945909393368	4	1.4161784564024396	9	2.1418372681304896	0	0.22519250775582667	2	1.7518028601835012	4	1.2436680051640499	0	0.0	0	0.0	0	0.0
22958	group2	0	0.24001348313310278	1	0.5580968726831549	5	0.9430779783084249	12	1.8120820310182066	10	0.9602267152856938	1	0.8065125974698397	7	1.7007384253849875	4	0.7039106147198511	28	2.578275250234428	4	1.1015306850461408	5	0.6235569009372812	0	0.0	12	1.689292938440184	0	0.0
16941	group1	1	1.1336495964480129	3	0.6541448414874893	3	1.3050211976888104	4	1.3852528827335675	0	0.18841465559593518	1	0.4339023206471202	2	0.2744540857154999	11	2.112067031268577	13	2.527510727844677	6	1.5045849346666644	12	1.5640244309621265	0	0.0	0	0.0	0	0.0
19740	group2	0	0.14909502415724435	3	0.7302434659595345	3	1.395457500907439	9	1.5358078136239226	0	0.024306561629486967	2	1.4345516929066389	2	0.41631266815684553	2	0.6116791654607912	29	2.6905416403279228	15	2.3563472649584543	11	1.4579699027319621	0	0.0	0	0.0	0	0.0
11104	group1	2	0.5162357043947311	1	0.5421030200276384	3	1.0893010114447175	11	2.2676945325665487	0	0.20455554637995066	5	1.9884148768438752	0	0.7007741414573141	2	1.2353311199280723	13	2.5647049440623575	6	1.6331394081900361	9	2.12254110775066	0	0.0	2	1.5906936358242547	1	0.6111864964891374
14576	group3	4	1.403190507037537	2	0.8402111161562817	3	1.2595741648378926	9	1.5280159263767459	1	0.6998436141265575	0	0.5112281112016701	0	0.38096447795537236	0	0.6432388233003336	20	2.51803005375353	16	2.297342599184947	6	1.7533444433205894	0	0.0	0	0.0	0	0.0
14945	group3	0	0.6360547211151786	2	0.7398250675874951	1	1.2036756775386277	0	0.8851299718771444	1	0.7795145855555298	7	1.3426188638785608	0	0.4820444825146657	15	2.0609291930549194	3	1.2707996863241255	6	1.5428863409947853	10	2.2495123139693436	0	0.0	0	0.0	5	0.8404081187306075
18929	group3	6	0.822848855994313	1	0.7537002944277651	4	0.9378494097090375	6	1.001453571123128	0	0.02293309243908148	4	1.198011826278233	1	0.7227584358196579	10	1.9627333772012654	1	1.1041204802268552	0	0.3565591536836218	6	1.372541107784179	0	0.0	0	0.0	0	0.0
8625	group3	0	0.40430837671017594	2	0.6786835678402858	2	0.7345551652996132	2	1.5575493839405523	1	0.577662858129756	1	1.4346642911110261	0	1.3807905334355592	0	0.556829752344663	14	2.579709235658555	3	1.5882095934368357	6	2.213524200485887	0	0.0	0	0.0	0	0.0
16419	group3	2	0.8158969234948259	3	0.9550211177053404	2	1.0789091935784931	2	1.5314112631706465	0	0.001642172716045276	6	1.8746990692898091	2	1.4819554581665142	0	0.3755054383951615	14	2.456723100641924	1	0.2977083486868082	11	1.8052470000646672	0	0.0	6	1.6472118891975385	0	0.0
17991	group2	5	1.0421028057599286	2	0.8008386957830693	5	1.029099466491262	13	1.6766916303871504	1	0.5154726119053935	0	0.7036195370794041	0	0.2068162320590226	9	1.2793890797239125	19	2.5762707414023067	23	2.572410998859333	3	1.0033444435167604	0	0.0	3	1.0471404545531322	0	0.0
15892	group3	0	0.030843907866642317	3	0.5048848555146336	2	0.9291442235101263	4	1.3763052034442331	2	0.6397951761308571	1	0.507268194942792	9	1.7227250107027654	4	1.8887822121583617	8	1.6417098717041374	1	0.5724680359217088	1	0.2591748844048477	0	0.0	0	0.0	0	0.0
15400	group3	1	0.9028381348639521	3	0.8819322655053369	2	0.8489534875084306	6	1.693035337611815	2	0.9856244028041888	1	0.804945018073546	3	0.5382817952196518	12	2.388148501604231	3	1.2261548635148465	1	1.4178131579760531	8	2.067608284570277	0	0.0	0	0.0	0	0.0
25607	group1	16	1.6752984302891238	8	1.2016861103300958	5	0.9526988311888277	8	1.3703658607076843	0	0.25909759641110575	8	1.49302143436997	3	0.7469477737888163	2	0.46725650160363075	38	2.640113034359878	11	1.7085381029399669	1	0.7502331450466588	0	0.0	0	0.0	0	0.0
25613	group3	0	0.899958396816775	3	0.750428194294614	7	0.9844132624278668	11	1.6585600834202436	3	0.8024968852628702	8	1.4481411348233766	0	0.3894854917044204	22	1.9140968930317555	11	1.0731079628952729	39	2.7518028601835014	12	1.4995123139931135	0	0.0	0	0.0	0	0.0
