nCount_RNA	group	gauss_1_-9_0.5	gauss_1_-9_0.5_expression	gauss_0.5_-9.5_0.5_gauss_0.5_-6_0.5	gauss_0.5_-9.5_0.5_gauss_0.5_-6_0.5_expression	gauss_0.75_-9_0.5	gauss_0.75_-9_0.5_expression	gauss_0.5_-9_0.3_gauss_0.5_-7.5_0.1	gauss_0.5_-9_0.3_gauss_0.5_-7.5_0.1_expression	gauss_0.3_-9.5_0.15_gauss_0.4_-8_0.15_gauss_0.3_-6.5_0.15	gauss_0.3_-9.5_0.15_gauss_0.4_-8_0.15_gauss_0.3_-6.5_0.15_expression
20036	group3	2	-8.18782731816838	1	-9.708378923702735	7	-8.105685763284841	20	-7.494943829285706	1	-9.433815876967245
20682	group2	1	-9.305878206825037	2	-9.528133413613165	1	-8.781745074744006	14	-7.450004866676217	28	-6.433815876967244
36511	group3	1	-9.264085876131729	69	-6.208378923702735	3	-8.951751265963996	33	-7.599590893110687	4	-9.549630522784113
12534	group3	0	-9.536484311078086	0	-10.568098047834226	1	-9.931746351682245	8	-7.430640149170869	13	-6.549630522784113
18220	group3	4	-8.56729618533766	3	-8.679864595797506	0	-inf	8	-7.541830152002691	7	-7.933815876967244
7350	group2	1	-10.150769348440141	0	-10.396717792597432	0	-inf	1	-8.984831487857118	2	-8.049630522784113
13052	group3	4	-8.12759411789176	0	-9.920873682828102	0	-9.1386941012572	6	-7.658457723511212	25	-6.135384321948833
16425	group1	2	-9.380603450447552	33	-6.028133413613165	1	-9.177379489634493	3	-8.85001460002865	6	-7.635384321948833
13753	group3	3	-8.84048045197145	3	-9.248559291420978	1	-9.04137074074123	1	-9.29877267933206	0	-9.135384321948832
14036	group2	0	-9.124685187738706	0	-10.122644043303616	2	-9.313500338411924	2	-8.791920447512606	2	-9.537813819440462
12190	group3	2	-8.268946031477514	4	-7.068098047834227	2	-9.021909084487964	9	-7.564770676712185	1	-9.483558523763273
12761	group3	0	-10.030070354748826	59	-5.179864595797506	0	-9.238609015179751	1	-9.125490456008073	19	-6.537813819440461
25426	group2	5	-9.161208602006754	1	-10.02897610943117	5	-9.656932376681342	21	-7.440142482603262	6	-8.037813819440462
23016	group3	0	-9.192027177334207	16	-6.896717792597432	4	-8.557688809750207	17	-7.466774996739003	5	-9.262627832440765
15267	group3	5	-8.43311527883228	0	-9.954503807463425	2	-8.559340978896236	2	-9.475373170533636	16	-6.483558523763272
15680	group3	2	-9.549945633657016	25	-6.420873682828102	5	-8.145213468173527	11	-7.614747663294548	3	-9.636384860728436
9677	group1	0	-9.086214103775218	33	-5.748559291420978	0	-8.97498317891157	1	-9.194312030136555	5	-7.983558523763272
17116	group3	0	-9.438929208960685	2	-9.224272977726788	1	-9.202338707300445	3	-8.820427447809786	1	-9.588745498689542
16540	group2	0	-8.978893126642204	23	-6.622644043303616	0	-9.272679973809765	1	-8.90032499021701	5	-7.762627832440765
13464	group3	2	-8.708592393142089	6	-8.353895993592522	1	-9.773238657791484	12	-7.438133031097312	7	-8.136384860728436
18591	group2	1	-9.55030958860646	26	-6.528976109431169	6	-8.50881628287092	1	-9.344242989883645	6	-8.088745498689542
15630	group3	4	-8.427638145080193	2	-9.479230303500799	1	-9.550533815055738	12	-7.508798692834027	0	-9.471859516124445
35148	group3	6	-8.549204639703602	0	-10.058962722556759	2	-9.592523263510087	11	-7.457492760351298	2	-9.549480493666904
17782	group2	4	-8.748752830549066	2	-9.230470839709605	0	-9.10282494971127	6	-7.466774685462767	2	-9.678914691863271
9322	group3	2	-8.549572025367794	0	-9.798079849903234	2	-8.256925822462705	3	-8.814399093291936	1	-7.971859516124445
19299	group3	3	-9.341863929587166	26	-6.454503807463425	0	-inf	6	-9.026396078502083	1	-9.530731476588137
