nCount_RNA	group	1_-9_-9_0.5_0.5_0.5_x	1_-9_-9_0.5_0.5_0.5_y	1_-9_-9_0.5_0.5_0.5_x_expression	1_-9_-9_0.5_0.5_0.5_y_expression	1_-9_-9_0.5_0.5_-0.5_x	1_-9_-9_0.5_0.5_-0.5_y	1_-9_-9_0.5_0.5_-0.5_x_expression	1_-9_-9_0.5_0.5_-0.5_y_expression	1_-9_-9_0.5_0.5_0_x	1_-9_-9_0.5_0.5_0_y	1_-9_-9_0.5_0.5_0_x_expression	1_-9_-9_0.5_0.5_0_y_expression
20036	group3	2	2	-9.355046880612502	-8.944237808861923	1	1	-9.212549626022465	-9.048824594717908	8	1	-7.979540439307408	-10.27783251565709
20682	group2	1	1	-8.817294143262444	-9.468872759064624	2	1	-9.431505084682666	-9.789228606637263	1	2	-8.79095057663711	-9.283884803063964
36511	group3	1	1	-9.5036242330931	-9.280436946911095	2	12	-9.493254688398045	-7.934662375583341	5	3	-9.226324646055224	-9.107798581544882
12534	group3	1	2	-8.912771954815963	-8.622212902717786	1	1	-8.665636131468517	-8.947460575167652	0	1	-10.009993064573626	-9.115966188822094
18220	group3	2	2	-9.231397602471734	-9.084331354143972	2	1	-9.260223501036014	-9.016687917176013	1	11	-9.43260653813747	-7.338500241677559
7350	group2	0	1	-9.148985438159098	-8.875628944852874	0	2	-9.500938259958764	-8.654340013370813	0	0	-8.88710669338604	-9.176315397170798
13052	group3	1	3	-8.640378538969578	-8.721833512966104	0	1	-9.055651761696838	-9.340421615982612	2	2	-9.140643709075675	-9.334023173054476
16425	group1	3	3	-8.94094776694068	-8.641524660623366	4	4	-9.221802136605023	-8.827796889253671	2	1	-9.52757527560256	-9.195400488617327
13753	group3	1	3	-8.944085989344215	-9.090314364826758	1	1	-9.387913364312839	-8.915679485622478	1	1	-8.759027305746606	-9.119276803286683
14036	group2	5	0	-8.597125643927756	-8.725721764237191	1	1	-9.277986579610532	-9.168150442104363	6	2	-8.521120648520117	-9.09990106453329
12190	group3	0	0	-8.934624941260699	-9.072426393910385	0	1	-9.317356249488485	-8.588626207021171	2	3	-8.987870217461667	-8.227089574393593
12761	group3	0	1	-9.812027147519967	-9.30866498986707	1	1	-9.040515467157347	-8.754232576357522	1	3	-8.727447238656177	-9.25261436780701
25426	group2	22	7	-7.353778898222221	-8.298285521206058	4	1	-8.36653391486476	-9.241875587063202	2	5	-9.091419487298868	-8.7297374341226
23016	group3	5	5	-8.81877386130975	-9.029869067097927	1	5	-10.300189070168653	-8.519032181449111	7	1	-8.032455982950573	-9.134810163670958
15267	group3	1	2	-9.146840614342867	-9.038179648831585	4	1	-8.627350721390131	-10.125064985542028	1	3	-9.121779339539552	-8.498843199362154
15680	group3	3	0	-9.639045890823638	-10.19505627216978	4	3	-9.332183474617237	-8.60345869664573	1	3	-9.443229971580294	-9.145860116219932
9677	group1	1	1	-9.34718513748899	-8.325799333742825	1	3	-9.286328255752698	-8.35245630809355	4	1	-8.558730516271758	-8.70982499190455
17116	group3	2	1	-9.44579645480122	-9.11426476861309	4	5	-9.020170733106369	-8.837810194268446	3	1	-8.954241648358824	-8.664947822585761
16540	group2	2	1	-8.365409919491883	-9.189447504919709	1	3	-8.70937649540346	-8.856393398990786	0	2	-10.414081153421881	-8.48934659124996
13464	group3	1	0	-9.099767883322965	-9.045260839412192	2	0	-8.616283345563128	-9.59464606752603	0	0	-9.479822379904071	-9.834309921327986
18591	group2	2	3	-8.297734305373451	-8.639347636263732	1	6	-8.654840394562548	-8.444449176212787	2	6	-8.8617771202395	-8.649727557325305
15630	group3	2	0	-8.73261626582186	-9.20499207735225	5	0	-8.9387424425365	-9.600787787031972	3	1	-9.222383727841391	-9.538202920050404
35148	group3	4	3	-8.981318612572814	-8.933577098838086	6	2	-8.513771437949927	-9.00159246148099	2	2	-8.986937583232983	-9.02637365412144
17782	group2	0	4	-8.888836378078993	-9.141982207236152	2	4	-8.567152875691981	-8.77067361468954	2	5	-8.297200916990954	-8.626296006260326
9322	group3	1	1	-9.479892195377856	-9.034308718236693	3	0	-7.907040148733362	-9.528698280316398	0	1	-8.90309217686769	-8.444183397388004
19299	group3	4	0	-8.934373834410328	-9.343488948105483	1	3	-9.802776649099302	-8.906556195801441	1	0	-9.102761524952896	-9.462949786824185
17503	group3	0	2	-9.191454727630783	-9.44217473686431	1	3	-8.762563498852005	-8.629557683550727	6	1	-8.707970844487376	-8.708730790672154
10534	group3	2	1	-9.112740860502754	-9.648634568941475	2	2	-8.788144706520278	-8.712004582403832	2	0	-9.107414455563427	-9.391404288981983
22958	group2	5	5	-9.390960050764745	-9.400991778072484	1	6	-9.959873135375846	-7.903160737327989	6	0	-8.885423047393369	-10.246947139228995
16941	group1	6	6	-8.380801001019673	-8.537750737003096	2	2	-9.071353936631658	-9.314172143278107	5	3	-8.654937614918595	-8.754315869627504
19740	group2	1	4	-9.091624808700505	-8.955229139118279	1	3	-9.329802720704913	-8.768562312473948	0	4	-9.819428571945243	-8.969323245080915
11104	group1	4	2	-8.297856804461556	-8.851543328044153	2	2	-8.94891549563279	-9.103714393574725	2	5	-9.48204983177062	-8.621389477620925
14576	group3	2	1	-8.96973523360406	-9.203110042043962	1	4	-9.547986717185031	-8.985183088897426	0	1	-10.017083636721715	-9.457247268997294
14945	group3	1	4	-9.291856801865679	-8.91209704062649	1	1	-8.946013221500591	-10.270925127073879	2	2	-8.645210006128966	-8.42179947578392
18929	group3	5	4	-8.349651156780023	-8.222457098521215	2	5	-9.500591384928658	-8.462511935279709	0	5	-10.079002690063104	-9.249019922375652
8625	group3	3	0	-9.455905981184141	-9.604669403369378	2	2	-9.656139961783598	-8.348338187271601	2	1	-8.835989953728712	-9.304608068974936
16419	group3	2	4	-8.836967943373585	-8.460846029783788	4	2	-8.55915493642024	-9.201880414179932	2	2	-8.204679884338429	-9.59561334080889
17991	group2	0	2	-9.333716328462847	-8.885774793074066	2	1	-9.280382909873834	-9.34671042111298	3	0	-8.822734026856537	-9.524202759272256
15892	group3	5	0	-8.480062644224502	-9.220971781085607	6	1	-8.175060098840344	-8.941550242417362	4	1	-8.297018528432558	-9.010825614527779
15400	group3	0	0	-8.840906903282344	-9.06382097978796	2	1	-9.049341674940612	-8.7424650575443	0	2	-9.186125282000308	-9.859092474866308
25607	group1	0	0	-9.38413327512051	-9.287316850931933	1	2	-9.052679484178405	-9.29218029770464	8	2	-8.15908722746666	-8.623610703651305
25613	group3	10	5	-7.995030797458625	-8.592612337510225	1	2	-9.412254907026703	-8.640058319310143	7	7	-8.62321808124532	-8.43105937054111
14739	group3	1	1	-9.55263313298983	-9.212750624280908	2	1	-8.704828675341115	-9.362235584333659	1	0	-8.825386710938485	-9.31962330528821
9456	group3	3	2	-8.722504291117577	-8.723028689401216	0	3	-8.560349632201426	-9.344627448503017	0	0	-9.400120613515051	-9.400099989680502
28030	group3	1	5	-9.310040092374164	-9.075837924450525	1	4	-9.697991198683354	-8.720051384388269	8	3	-8.314963829333145	-9.730190600597707
15022	group3	0	1	-9.443545407656837	-9.315302594046056	0	3	-9.785482686616298	-8.54832728771443	4	1	-9.298184755885394	-9.160621959643098
12584	group3	0	0	-8.894226108530338	-9.02365014092426	1	0	-9.275526046410269	-9.142667216241826	2	2	-8.887690487325452	-8.712325305746095
16181	group3	0	0	-8.894436473792528	-10.019863611331797	2	1	-8.89191824703791	-9.084379546715025	0	1	-9.624548504547771	-9.865006725636261
12289	group3	0	0	-8.94821050904647	-8.931710457054441	1	0	-8.987497870878697	-9.363946076907556	3	4	-9.002207116310984	-8.39321808735696
16863	group3	3	3	-8.466009198598845	-8.299602392029822	2	1	-8.911756656318019	-9.49882331830741	2	2	-8.621470970351737	-8.89217460815002
10223	group3	0	0	-8.933598248189723	-8.50237585003185	3	0	-8.385877822846242	-9.745606982692488	3	1	-9.158577822008677	-8.853383152099887
21506	group3	3	3	-9.112905342553384	-8.778328722158658	2	1	-8.946606118956343	-8.599192918497282	6	6	-9.121667542871087	-8.591396709753703
15978	group2	1	0	-9.623507158337613	-9.432042366980877	0	6	-8.66586957030397	-8.105462168524818	0	4	-9.397223669443441	-8.93288002645683
19515	group3	7	2	-8.24222196365617	-8.999381279508489	2	3	-9.25207666933149	-8.976090277634517	3	3	-9.055390068055797	-8.728320305234924
26048	group3	0	2	-9.731414545883789	-9.787060642477549	0	4	-10.07224609452791	-8.45136295226913	4	16	-8.88768073817531	-7.724982681846047
17202	group3	1	3	-8.737906903611794	-8.665778359581381	0	1	-9.658149298852505	-8.819423086009838	3	3	-8.250672620932258	-8.251631417240745
18067	group3	2	0	-9.130152028668096	-8.704080896561752	1	5	-9.645434033689025	-9.338764342429908	0	3	-10.019751918797322	-9.17015831235119
14545	group1	3	0	-9.018128729851986	-9.011253938042776	0	5	-9.428958841708315	-8.650164965927468	1	6	-9.304305307956465	-8.73363920005548
15016	group3	3	3	-8.807969928965	-8.573185879591254	7	1	-8.161376871667121	-8.9994136089518	0	2	-10.139513244527663	-8.412750660495407
16286	group3	2	6	-8.718794937097607	-8.385850217215625	1	0	-9.319956340578589	-8.657139741531722	4	1	-8.466508344552343	-9.651035429122897
16776	group3	1	0	-9.278712790489978	-10.041055809539554	2	1	-8.688054191652732	-9.333627103428144	1	3	-9.489274264310707	-9.400586005390592
11206	group3	3	4	-8.086311105835575	-7.777871728258415	0	1	-8.747822640049648	-8.889789113179805	1	1	-8.978352049858428	-8.679514467655265
19486	group3	2	0	-9.853040905009658	-10.353503329445605	3	3	-9.512515785447807	-8.82136240443356	4	2	-7.9760569723213335	-9.098722714943836
13954	group2	0	5	-8.605675083681131	-8.311190616790894	3	3	-8.895131901091199	-9.370900762798108	0	0	-8.61624872054819	-8.922291094970282
12328	group3	4	0	-8.509450501765546	-8.762463243733913	5	0	-8.5636222142109	-9.732165227234708	4	1	-8.120036858045873	-8.628921069394215
17842	group1	4	4	-8.982261236748332	-8.716260193602434	0	0	-8.787248147856937	-8.867275879840243	2	0	-8.31572477456276	-9.538837594891731
24731	group3	7	7	-8.893969639429908	-8.755028219389828	0	8	-9.77382755960361	-8.630345379176056	3	2	-9.096120355762976	-9.40688621092102
26956	group3	3	5	-8.712391080679753	-9.134726632505554	2	4	-9.349694043175512	-8.87253436967726	6	4	-8.247526297995847	-8.671180048091113
19033	group3	2	2	-8.62391125170655	-9.09911108429051	0	6	-9.91076355211246	-8.113598220200393	3	1	-9.152572212888758	-9.2262339435352
23601	group2	2	1	-8.72185451474284	-9.283787628525658	1	1	-9.451467894434046	-9.01661318213487	1	1	-8.75766756089665	-9.350747765089777
26916	group3	2	3	-8.891003310094987	-8.16252240244236	7	4	-8.598537339450482	-9.3006150101142	2	1	-9.465294438106078	-8.759362753864234
15122	group2	4	1	-8.963495050699542	-8.990446063435563	7	1	-8.745377396574305	-9.077978307140425	10	0	-7.7684339839473875	-9.123066777032406
13099	group3	3	0	-9.116287516667583	-9.326716017942019	2	1	-8.158209075690412	-9.510788439235121	2	1	-9.277932890396777	-9.585578417012771
16493	group2	2	7	-9.00732846688333	-8.794754099217375	9	4	-8.179907730887244	-8.958880570929608	1	5	-9.667505478779692	-8.737508382717888
16182	group3	1	2	-8.832465465174307	-9.412113828640523	1	2	-8.600773760883259	-8.850593720673759	2	2	-8.574598483610723	-8.995412639558754
16383	group3	3	1	-9.213239193563547	-9.508456665208069	6	0	-8.288717941143776	-9.496808936598779	3	1	-8.833712005661896	-8.942041711246448
31784	group3	9	2	-8.317585632813193	-8.767823167812718	7	5	-8.737194148720516	-9.506250385622451	3	2	-8.93067257697639	-9.763079526291424
21091	group3	5	7	-9.237713968885041	-8.424063841573508	3	2	-9.089919287643063	-9.068618195824248	3	2	-9.22905913652461	-8.944260346205025
19271	group3	8	3	-8.530996994772524	-8.450959048505354	4	2	-8.927512185033345	-8.698660100563552	1	3	-9.391583390281843	-9.238214871929909
13279	group3	5	8	-8.0739031652459	-8.0746866318185	2	0	-9.304533328517646	-8.739207412929083	4	1	-9.409560090163867	-9.166748337099222
15166	group2	3	4	-9.330357854447426	-9.448689515478154	2	0	-8.610778797656598	-9.791544255597817	4	1	-8.573445862837431	-9.2032901753278
23559	group2	3	4	-8.785359089974737	-8.669603557945468	0	2	-9.445691568405364	-9.61522141789563	3	4	-9.076935340098553	-8.593140820280942
21183	group3	3	2	-9.469088994254664	-9.13726020874596	1	2	-9.385569996061438	-8.734249100103074	2	6	-8.677614892921541	-8.152396220520183
30655	group3	1	3	-9.906398100985967	-9.801814364817828	3	6	-8.654081498813303	-8.871730395868152	3	9	-10.045242539064294	-8.571570527738446
19502	group3	7	6	-8.711984104581083	-8.774973699574405	1	4	-9.233963491352633	-8.655536025486109	3	1	-9.24114204338654	-8.93265409059106
23084	group1	1	5	-8.995791554747438	-8.941422863008379	6	9	-8.488804443825009	-9.355984768031789	5	4	-8.581140307550468	-8.458373422154327
14644	group3	1	3	-9.030489060185658	-8.943506090737557	2	2	-9.371092604746657	-9.071294062136966	1	3	-8.480324654845582	-8.922446654460874
17364	group3	6	3	-8.483907939806283	-8.069093461786261	4	6	-9.324795485452581	-8.421260923444128	1	3	-8.195168658490843	-9.141487113608068
16032	group3	3	2	-8.45784092216919	-9.0444202703927	7	1	-8.116640268924483	-9.82238500624037	1	5	-9.070490956535393	-8.600324405552957
14521	group3	0	3	-9.605485854617754	-8.946822850924713	5	1	-8.168290917487631	-9.263551508383937	2	4	-9.275686203990231	-7.919546870649377
9966	group3	2	1	-9.253777279585055	-9.173197622662295	0	1	-9.62535104391391	-8.926444331117763	3	2	-8.490396717322689	-7.912212338689804
17689	group2	0	6	-9.314228601265476	-7.878444932358726	2	0	-8.591375560308963	-9.357697797319062	2	3	-9.01329459357789	-9.191544275130653
15271	group3	1	0	-9.096339496110813	-9.665986831282302	1	3	-8.515291112344782	-8.722107347568583	2	5	-8.916475998916537	-8.632711748696904
16935	group2	2	3	-8.684151691534385	-8.640662067248432	1	3	-9.391457886426071	-8.749755737209778	2	3	-9.293713843437006	-8.810149126513776
