nCount_RNA	group	0.5_0_0_0.5_x	0.5_0_0_0.5_y	0.5_0_0_0.5_x_expression	0.5_0_0_0.5_y_expression	0.5_0_0_0.5_group	0_0.5_0.5_0_x	0_0.5_0.5_0_y	0_0.5_0.5_0_x_expression	0_0.5_0.5_0_y_expression	0_0.5_0.5_0_group
20036	group3	2	2	-9.125027354221642	-8.984831487857118	0.0	10	1	-7.489055434005621	-8.999667433586337	2.0
20682	group2	12	10	-7.285364583188362	-7.447052701573795	3.0	4	14	-8.492842288859894	-7.340209619504458	1.0
36511	group3	2	3	-9.016880048167899	-8.85001460002865	0.0	25	4	-7.369046072007347	-9.08686322077506	2.0
12534	group3	0	1	-9.640858828700535	-9.29877267933206	0.0	1	8	-9.13978121116225	-7.414166523072192	1.0
18220	group3	5	3	-8.507918757478503	-8.791920447512606	0.0	1	5	-8.990153950896424	-7.685448035053352	1.0
7350	group2	1	1	-9.53803067555846	-9.125490456008073	0.0	4	0	-7.733636437082706	-9.334819890919324	2.0
13052	group3	1	1	-9.252524209696862	-9.475373170533636	0.0	4	1	-7.6663619438684325	-9.003864827023738	2.0
16425	group1	3	1	-8.849135574852587	-9.194312030136555	0.0	0	8	-8.877745115101048	-7.501006061991423	1.0
13753	group3	3	5	-9.37358642598217	-8.820427447809786	0.0	0	14	-9.236676908587722	-7.425439683133142	1.0
14036	group2	4	3	-7.447618817938562	-7.5397044182272905	3.0	4	0	-7.775578988904259	-9.113508439262375	2.0
12190	group3	3	3	-9.317385665658701	-8.90032499021701	0.0	1	4	-8.999380328128215	-7.586410267286268	1.0
12761	group3	8	9	-7.488420303831359	-7.208307457559067	3.0	14	0	-7.210819883599015	-9.144340608863072	2.0
25426	group2	3	3	-9.272702284478054	-9.344242989883645	0.0	21	5	-7.292659659770409	-9.455199353638701	2.0
23016	group3	6	8	-7.723619124403739	-7.53025105555237	3.0	26	2	-7.235453245853264	-9.147261594366524	2.0
15267	group3	2	2	-8.834563786636073	-8.814399093291936	0.0	5	0	-7.404620683278192	-9.072204173550801	2.0
15680	group3	6	6	-7.533286584301728	-7.486846819010618	3.0	10	3	-7.382829468431887	-9.194384238066482	2.0
9677	group1	3	1	-8.312337596155512	-9.026396078502083	0.0	5	1	-7.642011257679962	-8.809232675925951	2.0
17116	group3	10	10	-7.542571077512278	-7.3101022659526125	3.0	3	7	-9.00026711575738	-7.468138609716946	1.0
16540	group2	5	5	-8.98753818210048	-8.872478281053894	0.0	15	4	-7.270036366735742	-8.477964808414447	2.0
13464	group3	1	0	-9.335377633534055	-8.9003240563883	0.0	5	2	-7.634799216066137	-8.910995334686579	2.0
18591	group2	8	12	-7.5099289777778955	-7.6091078885827494	3.0	1	8	-9.526417291903627	-7.486974176914203	1.0
15630	group3	11	12	-7.575240081218862	-7.5709963989516345	3.0	6	3	-7.579684256350093	-8.787748901444434	2.0
35148	group3	0	0	-8.838282503825763	-9.347044878275742	0.0	17	10	-7.545403028444227	-8.45315527106453	2.0
17782	group2	11	11	-7.505258180277111	-7.477487612899556	3.0	12	3	-7.5949938325795605	-8.870769291150332	2.0
9322	group3	3	5	-7.55726616364314	-7.539584394933523	3.0	7	3	-7.3968542268983555	-8.537181112353574	2.0
19299	group3	6	12	-7.657663770403522	-7.643131753490617	3.0	11	2	-7.52769467945827	-9.270216351425006	2.0
17503	group3	0	0	-9.17884790994194	-8.894700854075241	0.0	3	8	-8.694702598300951	-7.499485028287916	1.0
10534	group3	0	0	-9.005739148956346	-9.182066184929221	0.0	2	1	-7.507879323372575	-9.041137503113402	2.0
22958	group2	5	1	-8.647499634149913	-8.535906201295282	0.0	3	9	-8.819850445224136	-7.520952025271153	1.0
16941	group1	11	9	-7.39384531434005	-7.524585181270511	3.0	1	8	-9.187628692190028	-7.448036857205568	1.0
19740	group2	3	5	-9.22436128478816	-8.782997517375643	0.0	8	3	-7.525036348167859	-8.610726296375985	2.0
11104	group1	3	1	-8.997292424708002	-8.98615932983095	0.0	6	3	-7.338375771586314	-8.797418649770345	2.0
14576	group3	3	2	-7.394241834935096	-7.543059473640149	3.0	2	6	-9.051464478358715	-7.355635515142534	1.0
14945	group3	7	4	-7.294851232361646	-7.4275834076868605	3.0	5	0	-7.572834335682855	-8.99041256490999	2.0
